Timestamp,Strategy,Query,Retrieved Context Size,Used Context Size,Retrieved Documents,Used Documents,Response Length,Token Count,Prompt Length,Embedding Model,LLM Model,Relevance Scores,Latency (s),Status,Error Message
2025-01-17T18:33:02.270913,hypothetical,Need a comfortable office chair under $200,3,3,HATTEFJÄLL(30494509); HATTEFJÄLL(40494504); HATTEFJÄLL(494515),HATTEFJÄLL(30494509); HATTEFJÄLL(40494504); HATTEFJÄLL(494515),2099,319,2790,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.871; 0.871; 0.871,9.510,Success,
2025-01-17T18:33:08.833634,step_back,Need a comfortable office chair under $200,4,4,GUNDE(217797); SMÖRKULL(70503451); SMÖRKULL(10503454); GRÖNFJÄLL(39513928),GUNDE(217797); SMÖRKULL(70503451); SMÖRKULL(10503454); GRÖNFJÄLL(39513928),883,149,2438,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.498,6.560,Success,
2025-01-17T18:33:12.180392,basic,Kitchen organization solutions for small spaces,3,3,BOLLÖSUND(80570888); NOJIG(70457487); BOLLÖSUND(20570886),BOLLÖSUND(80570888); NOJIG(70457487); BOLLÖSUND(20570886),1027,166,1618,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.695; 0.693,3.345,Success,
2025-01-17T18:33:18.059920,multi_query,Kitchen organization solutions for small spaces,8,8,HAVREKROSS(40577882); HAVREKROSS(569412); KUNGSFORS(70379692); ENHET(19441013); SEKTION(39471886); SEKTION(99458877); SEKTION(99461059); SEKTION(99468490),HAVREKROSS(40577882); HAVREKROSS(569412); KUNGSFORS(70379692); ENHET(19441013); SEKTION(39471886); SEKTION(99458877); SEKTION(99461059); SEKTION(99468490),1511,221,3770,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.597; 0.600; 0.599; 0.600; 0.599,5.878,Success,
2025-01-17T18:33:27.049828,hypothetical,Kitchen organization solutions for small spaces,3,3,GALANT(50365139); ENHET(99444244); ENHET(29444247),GALANT(50365139); ENHET(99444244); ENHET(29444247),2019,292,2748,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.880; 0.880; 0.880,8.989,Success,
2025-01-17T18:33:37.042419,step_back,Kitchen organization solutions for small spaces,4,4,HAVREKROSS(569412); VÄLSKAPT(60515303); SOLNEBO(20587622); TORNVIKEN(80393517),HAVREKROSS(569412); VÄLSKAPT(60515303); SOLNEBO(20587622); TORNVIKEN(80393517),1722,277,2422,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.496,9.991,Success,
2025-01-17T18:33:43.604028,basic,Modern living room furniture for apartments,3,3,MALM(99488266); MALM(59488268); MALM(19488270),MALM(99488266); MALM(59488268); MALM(19488270),1850,320,1718,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.700,6.560,Success,
2025-01-17T18:33:50.892120,multi_query,Modern living room furniture for apartments,5,5,MALM(99488285); MALM(89488281); MALM(99488266); HAUGA(99572726); HAUGA(19572725),MALM(99488285); MALM(89488281); MALM(99488266); HAUGA(99572726); HAUGA(19572725),1751,268,2808,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.809; 0.600; 0.600,7.287,Success,
2025-01-17T18:34:00.681111,hypothetical,Modern living room furniture for apartments,3,3,VISKAFORS(39443365); VISKAFORS(39443370); VISKAFORS(79443330),VISKAFORS(39443365); VISKAFORS(39443370); VISKAFORS(79443330),2333,378,2322,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.888; 0.888; 0.888,9.788,Success,
2025-01-17T18:34:09.333401,step_back,Modern living room furniture for apartments,4,3,GLAMBERGET(90564735); SMÅSTAD(50454041); SKALLEBO(587618); RISÖR(70182191),SMÅSTAD(50454041); SKALLEBO(587618); RISÖR(70182191),1836,268,2507,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.967; 0.944; 0.500; 0.496,8.651,Success,
2025-01-17T18:34:12.844768,basic,What colors are available for the SPJUTROCKA ice cube tray with lid?,3,3,SPJUTROCKA(40429580); LUFTTÄT(60509986); SURSÖT(60512936),SPJUTROCKA(40429580); LUFTTÄT(60509986); SURSÖT(60512936),911,155,1789,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,1.000; 0.958; 0.955,3.511,Success,
2025-01-17T18:34:17.951968,multi_query,What colors are available for the SPJUTROCKA ice cube tray with lid?,8,2,JÄTTESTA(60538795); ENERYDA(60347512); SEKTION(19421246); SEKTION(89456096); SPJUTROCKA(40429580); INBLANDAT(80429583); SEKTION(29559257); SEKTION(39559756),SPJUTROCKA(40429580); INBLANDAT(80429583),1182,183,3710,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.597; 0.600; 0.599; 0.974; 0.964; 0.600; 0.598,5.106,Success,
2025-01-17T18:34:26.658519,hypothetical,What colors are available for the SPJUTROCKA ice cube tray with lid?,3,3,SURSÖT(20512938); GRILLTIDER(80590886); GRILLTIDER(40590888),SURSÖT(20512938); GRILLTIDER(80590886); GRILLTIDER(40590888),1794,285,2704,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.853; 0.838; 0.836,8.705,Success,
2025-01-17T18:34:34.648200,step_back,What colors are available for the SPJUTROCKA ice cube tray with lid?,4,1,SPJUTROCKA(40429580); LUFTTÄT(60509986); SURSÖT(60512936); SURSÖT(20512938),SPJUTROCKA(40429580),1319,229,2810,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,1.000; 0.956; 0.904; 0.904,7.988,Success,
2025-01-17T18:34:40.732232,basic,What is the maximum load per shelf for the LOMMARP bookcase?,3,3,BILLY(10265293); BILLY(50286750); BILLY(10286752),BILLY(10265293); BILLY(50286750); BILLY(10286752),1499,274,1773,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.699,6.083,Success,
2025-01-17T18:34:48.057115,multi_query,What is the maximum load per shelf for the LOMMARP bookcase?,8,4,JÄTTESTA(60538795); ENERYDA(60347512); GERSBY(70261131); BILLY(89017827); VIHALS(50542905); VIHALS(70483274); BILLY(59581822); BILLY(99581820),GERSBY(70261131); BILLY(89017827); BILLY(59581822); BILLY(99581820),1678,267,3231,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.597; 0.989; 0.594; 0.600; 0.600; 0.600; 0.600,7.324,Success,
2025-01-17T18:34:54.442045,hypothetical,What is the maximum load per shelf for the LOMMARP bookcase?,3,2,TONSTAD(10528464); BILLY(10286752); BILLY(20265301),BILLY(10286752); BILLY(20265301),1046,166,2970,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.870; 0.868; 0.868,6.384,Success,
2025-01-17T18:35:02.102883,step_back,What is the maximum load per shelf for the LOMMARP bookcase?,4,4,BAGGEBO(20436713); VÄLSKAPT(60515303); SOLNEBO(20587622); BILLY(10265293),BAGGEBO(20436713); VÄLSKAPT(60515303); SOLNEBO(20587622); BILLY(10265293),1366,221,2705,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.499,7.660,Success,
2025-01-17T18:35:07.246286,basic,What materials are used in the MALM glass top?,3,3,HEMNES(430019); HEMNES(50430012); FRÖJDA(70586154),HEMNES(430019); HEMNES(50430012); FRÖJDA(70586154),1505,255,1747,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.991; 0.990; 0.700,5.141,Success,
2025-01-17T18:35:15.070419,multi_query,What materials are used in the MALM glass top?,6,4,FRÖJDA(70586154); STORKLINTA(40562786); HAUGA(80415048); HAUGA(30415055); GULLABERG(60569433); HEMNES(50430012),FRÖJDA(70586154); STORKLINTA(40562786); GULLABERG(60569433); HEMNES(50430012),1883,307,3035,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.595; 0.600; 0.600; 0.987; 0.600,7.822,Success,
2025-01-17T18:35:23.576558,hypothetical,What materials are used in the MALM glass top?,3,3,IDANÄS(40500005); FJÄLLBO(70335486); KRAGSTA(20286638),IDANÄS(40500005); FJÄLLBO(70335486); KRAGSTA(20286638),1757,266,2813,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.868; 0.867; 0.867,8.505,Success,
2025-01-17T18:35:30.557936,step_back,What materials are used in the MALM glass top?,4,4,STORKLINTA(40562786); VÄLSKAPT(60515303); SOLNEBO(20587622); HEMNES(60430021),STORKLINTA(40562786); VÄLSKAPT(60515303); SOLNEBO(20587622); HEMNES(60430021),990,163,2966,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.495,6.979,Success,
2025-01-17T18:35:36.616123,basic,How should the VÄLVÅRDAD dish brush be cared for?,3,3,RINNIG(30407814); RINNIG(90407811); RINNIG(20565856),RINNIG(30407814); RINNIG(90407811); RINNIG(20565856),1696,275,1769,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.936; 0.936; 0.936,6.057,Success,
2025-01-17T18:35:43.135082,multi_query,How should the VÄLVÅRDAD dish brush be cared for?,6,4,JÄTTESTA(60538795); ENERYDA(60347512); LÄTTBAKAD(60578159); RINNIG(30407814); RINNIG(90407811); PEPPRIG(10567648),LÄTTBAKAD(60578159); RINNIG(30407814); RINNIG(90407811); PEPPRIG(10567648),1643,263,3005,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.597; 0.990; 0.600; 0.600; 0.600,6.518,Success,
2025-01-17T18:35:49.410376,hypothetical,How should the VÄLVÅRDAD dish brush be cared for?,3,3,LÄTTBAKAD(60578159); RINNIG(70476457); RINNIG(30407814),LÄTTBAKAD(60578159); RINNIG(70476457); RINNIG(30407814),1009,156,2773,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.864; 0.863; 0.861,6.274,Success,
2025-01-17T18:35:56.565476,step_back,How should the VÄLVÅRDAD dish brush be cared for?,4,4,RINNIG(30407814); RINNIG(90407811); RINNIG(20565856); LÄTTBAKAD(60578159),RINNIG(30407814); RINNIG(90407811); RINNIG(20565856); LÄTTBAKAD(60578159),1221,195,2849,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.921; 0.921; 0.921; 0.913,7.154,Success,
2025-01-17T18:35:59.140865,basic,What are the dimensions and color options for the HILJA curtains?,3,3,HILJA(560096); VILBORG(90530750); VILBORG(297553),HILJA(560096); VILBORG(90530750); VILBORG(297553),747,129,1821,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.992; 0.700; 0.700,2.573,Success,
2025-01-17T18:36:04.907205,multi_query,What are the dimensions and color options for the HILJA curtains?,8,4,JÄTTESTA(60538795); ENERYDA(60347512); LÖNNSTÄVMAL(80557132); LÖNNSTÄVMAL(90557103); LENDA(90559201); LENDA(40558077); HILJA(50430818); HILJA(40430814),LENDA(90559201); LENDA(40558077); HILJA(50430818); HILJA(40430814),1448,216,3723,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.597; 0.600; 0.600; 0.600; 0.597; 0.996; 0.995,5.765,Success,
2025-01-17T18:36:14.197548,hypothetical,What are the dimensions and color options for the HILJA curtains?,3,3,VILBORG(90530750); VILBORG(297553); PRAKTTIDLÖSA(10551435),VILBORG(90530750); VILBORG(297553); PRAKTTIDLÖSA(10551435),2225,363,2564,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.924; 0.924; 0.921,9.290,Success,
2025-01-17T18:36:23.103887,step_back,What are the dimensions and color options for the HILJA curtains?,4,4,PRAKTTIDLÖSA(10551435); PRAKTTIDLÖSA(10551440); PRAKTTIDLÖSA(20551430); SKOGSSVINGEL(80551502),PRAKTTIDLÖSA(10551435); PRAKTTIDLÖSA(10551440); PRAKTTIDLÖSA(20551430); SKOGSSVINGEL(80551502),1507,232,3059,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.500,8.903,Success,
